title,console,date,year,month,day
Oh...Sir! The Hollywood Roast!,1,2018-06-01,2018,6,1
Sakuna: Of Rice and Ruin,0,2020-11-12,2020,11,12
"Ys: Memories of Celceta ""Timeless Adventurer Edition""",0,2012-09-27,2012,9,27
Sparklite,1,2019-11-14,2019,11,14
PAW Patrol Mighty Pups Save Adventure Bay,1,2020-11-06,2020,11,6
The Path of Motus,0,2018-07-17,2018,7,17
My Universe - Cooking Star Restaurant,0,2020-11-10,2020,11,10
The Fisherman - Fishing Planet,1,2019-10-15,2019,10,15
Steven Universe: Save the Light,1,2017-12-19,2017,12,19
Salary Man Escape VR,0,2018-06-26,2018,6,26
NBA 2K18,1,2017-09-15,2017,9,15
Ninjin: Clash of Carrots,1,2018-09-04,2018,9,4
For The King,1,2018-04-19,2018,4,19
EarthNight,0,2019-12-03,2019,12,3
My Time at Portia,1,2019-04-16,2019,4,16
S.O.N,0,2019-03-28,2019,3,28
ACA NEOGEO BASEBALL STARS 2,0,2019-03-21,2019,3,21
The TakeOver,0,2021-05-20,2021,5,20
Destiny 2,1,2017-09-06,2017,9,6
Game Tengoku CruisinMix Special,0,2020-05-28,2020,5,28
Radial-G: Racing Revolved,0,2016-12-31,2016,12,31
Sakura Wars,0,2020-05-12,2020,5,12
Brawlout,0,2018-08-21,2018,8,21
The Wardrobe,0,2018-07-31,2018,7,31
Samurai Shodown,1,1993-07-07,1993,7,7
NHL 20,1,2019-09-13,2019,9,13
Outriders,1,2021-04-01,2021,4,1
The Crew 2,1,2018-06-29,2018,6,29
Little Nightmares II,1,2021-02-11,2021,2,11
Cluster Tumble,0,2018-04-30,2018,4,30
Hammerwatch,1,2017-12-20,2017,12,20
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,1,2020-03-24,2020,3,24
Persian Nights: Sands of Wonders,1,2018-08-17,2018,8,17
Hotline Miami 2: Wrong Number ,0,2015-03-10,2015,3,10
ACA NEOGEO SAMURAI SHODOWN IV,1,2018-04-19,2018,4,19
Fortnite: Darkfire Bundle,1,2017-09-26,2017,9,26
Sea of Solitude,1,2019-07-05,2019,7,5
Hello Neighbor,1,2018-07-27,2018,7,27
AER - Memories of Old,1,2017-10-25,2017,10,25
Guts and Glory,1,2017-02-15,2017,2,15
Mitch: Berry Challenge,0,2017-12-31,2017,12,31
Pop-Up Pilgrims,0,2018-02-13,2018,2,13
Onimusha: Warlords,1,2019-01-15,2019,1,15
Illusion of L'Phalcia,0,2019-07-03,2019,7,3
Future Unfolding,0,2017-05-16,2017,5,16
